codigo_municipio,municipio,grupo,variable,mes,hombres menores a 2 años,mujeres menores a 2 años,hombres de 2 a 4 años,mujeres de 2 a 4 años,hombres total,mujeres total,total
30403,ARBIETO,desnutricion global - cronica,global peso bajo (m + g)),2007-02-01,2,0,4,1,6,1,7
30601,ARQUE,desnutricion global - cronica,global peso bajo (m + g)),2007-02-01,0,1,1,1,1,2,3
41202,BELEN DE ANDAMARCA,desnutricion global - cronica,global peso bajo (m + g)),2007-02-01,1,0,0,0,1,0,1
50301,BETANZOS,desnutricion global - cronica,global peso bajo (m + g)),2007-02-01,1,1,0,2,1,3,4
70706,CAMIRI,desnutricion global - cronica,global peso bajo (m + g)),2007-02-01,2,0,0,0,2,0,2
50702,CARIPUYO,desnutricion global - cronica,global peso bajo (m + g)),2007-02-01,8,2,4,7,12,9,21
40201,CHALLAPATA,desnutricion global - cronica,global peso bajo (m + g)),2007-02-01,1,1,2,0,3,1,4
50202,CHAYANTA,desnutricion global - cronica,global peso bajo (m + g)),2007-02-01,0,8,2,3,2,11,13
40302,CHOQUE COTA,desnutricion global - cronica,global peso bajo (m + g)),2007-02-01,1,0,0,1,1,1,2
40902,COIPASA,desnutricion global - cronica,global peso bajo (m + g)),2007-02-01,0,1,0,0,0,1,1
50401,COLQUECHACA,desnutricion global - cronica,global peso bajo (m + g)),2007-02-01,1,3,4,2,5,5,10
21004,COLQUIRI,desnutricion global - cronica,global peso bajo (m + g)),2007-02-01,3,3,0,1,3,4,7
40301,CORQUE,desnutricion global - cronica,global peso bajo (m + g)),2007-02-01,2,2,2,3,4,5,9
40401,CURAHUARA DE CARANGAS,desnutricion global - cronica,global peso bajo (m + g)),2007-02-01,1,0,0,0,1,0,1
40103,EL CHORO,desnutricion global - cronica,global peso bajo (m + g)),2007-02-01,4,2,0,2,4,4,8
60601,ENTRE RIOS,desnutricion global - cronica,global peso bajo (m + g)),2007-02-01,0,0,2,0,2,0,2
41101,EUCALIPTUS,desnutricion global - cronica,global peso bajo (m + g)),2007-02-01,2,1,0,0,2,1,3
40701,HUANUNI,desnutricion global - cronica,global peso bajo (m + g)),2007-02-01,0,0,1,1,1,1,2
21005,ICHOCA,desnutricion global - cronica,global peso bajo (m + g)),2007-02-01,4,0,0,0,4,0,4
10304,ICLA,desnutricion global - cronica,global peso bajo (m + g)),2007-02-01,22,29,45,25,67,54,121
21001,INQUISIVI,desnutricion global - cronica,global peso bajo (m + g)),2007-02-01,6,2,2,0,8,2,10
50203,LLALLAGUA,desnutricion global - cronica,global peso bajo (m + g)),2007-02-01,4,3,5,1,9,4,13
80601,LORETO,desnutricion global - cronica,global peso bajo (m + g)),2007-02-01,5,0,6,6,11,6,17
40702,MACHACAMARCA,desnutricion global - cronica,global peso bajo (m + g)),2007-02-01,1,3,1,2,2,5,7
30302,MOROCHATA,desnutricion global - cronica,global peso bajo (m + g)),2007-02-01,0,0,1,0,1,0,1
40101,ORURO,desnutricion global - cronica,global peso bajo (m + g)),2007-02-01,17,11,4,16,21,27,48
30202,PASORAPA,desnutricion global - cronica,global peso bajo (m + g)),2007-02-01,1,1,1,4,2,5,7
50403,POCOATA,desnutricion global - cronica,global peso bajo (m + g)),2007-02-01,1,0,0,0,1,0,1
40601,POOPO,desnutricion global - cronica,global peso bajo (m + g)),2007-02-01,3,2,2,4,5,6,11
90301,PUERTO GONZALO MORENO,desnutricion global - cronica,global peso bajo (m + g)),2007-02-01,3,10,2,5,5,15,20
50402,RAVELO,desnutricion global - cronica,global peso bajo (m + g)),2007-02-01,1,0,0,0,1,0,1
80301,REYES,desnutricion global - cronica,global peso bajo (m + g)),2007-02-01,18,24,5,6,23,30,53
40901,SABAYA,desnutricion global - cronica,global peso bajo (m + g)),2007-02-01,0,1,0,0,0,1,1
40801,SALINAS DE GARCI MENDOZA,desnutricion global - cronica,global peso bajo (m + g)),2007-02-01,1,0,4,1,5,1,6
80102,SAN JAVIER(BNI),desnutricion global - cronica,global peso bajo (m + g)),2007-02-01,4,3,2,3,6,6,12
60501,SAN LORENZO(TJA),desnutricion global - cronica,global peso bajo (m + g)),2007-02-01,6,5,2,4,8,9,17
90202,SAN PEDRO(PND),desnutricion global - cronica,global peso bajo (m + g)),2007-02-01,1,0,0,0,1,0,1
70101,SANTA CRUZ DE LA SIERRA,desnutricion global - cronica,global peso bajo (m + g)),2007-02-01,158,146,59,57,217,203,420
80303,SANTA ROSA,desnutricion global - cronica,global peso bajo (m + g)),2007-02-01,2,3,0,1,2,4,6
40104,SORACACHI,desnutricion global - cronica,global peso bajo (m + g)),2007-02-01,4,2,0,0,4,2,6
10101,SUCRE,desnutricion global - cronica,global peso bajo (m + g)),2007-02-01,0,1,2,2,2,3,5
31601,TIRAQUE (CBBA),desnutricion global - cronica,global peso bajo (m + g)),2007-02-01,1,2,0,0,1,2,3
30803,TOLATA,desnutricion global - cronica,global peso bajo (m + g)),2007-02-01,0,1,0,0,0,1,1
41001,TOLEDO,desnutricion global - cronica,global peso bajo (m + g)),2007-02-01,3,3,0,2,3,5,8
50502,TORO TORO,desnutricion global - cronica,global peso bajo (m + g)),2007-02-01,12,3,5,4,17,7,24
41301,TOTORA(ORR),desnutricion global - cronica,global peso bajo (m + g)),2007-02-01,2,1,2,3,4,4,8
40402,TURCO,desnutricion global - cronica,global peso bajo (m + g)),2007-02-01,1,4,1,3,2,7,9
60301,YACUIBA,desnutricion global - cronica,global peso bajo (m + g)),2007-02-01,4,0,0,1,4,1,5
10102,YOTALA,desnutricion global - cronica,global peso bajo (m + g)),2007-02-01,0,8,28,34,28,42,70
60402,YUNCHARA,desnutricion global - cronica,global peso bajo (m + g)),2007-02-01,4,1,6,8,10,9,19
30201,AIQUILE,desnutricion global - cronica,global peso bajo (m + g)),2007-03-01,4,6,1,3,5,9,14
41201,ANDAMARCA,desnutricion global - cronica,global peso bajo (m + g)),2007-03-01,1,2,1,1,2,3,5
30402,ANZALDO,desnutricion global - cronica,global peso bajo (m + g)),2007-03-01,4,4,8,10,12,14,26
30403,ARBIETO,desnutricion global - cronica,global peso bajo (m + g)),2007-03-01,5,1,6,8,11,9,20
30601,ARQUE,desnutricion global - cronica,global peso bajo (m + g)),2007-03-01,0,2,0,3,0,5,5
41202,BELEN DE ANDAMARCA,desnutricion global - cronica,global peso bajo (m + g)),2007-03-01,1,0,0,0,1,0,1
60202,BERMEJO,desnutricion global - cronica,global peso bajo (m + g)),2007-03-01,1,0,0,2,1,2,3
50301,BETANZOS,desnutricion global - cronica,global peso bajo (m + g)),2007-03-01,7,11,2,10,9,21,30
70401,BUENA VISTA,desnutricion global - cronica,global peso bajo (m + g)),2007-03-01,3,5,8,3,11,8,19
50702,CARIPUYO,desnutricion global - cronica,global peso bajo (m + g)),2007-03-01,19,18,5,8,24,26,50
40201,CHALLAPATA,desnutricion global - cronica,global peso bajo (m + g)),2007-03-01,9,12,4,11,13,23,36
50202,CHAYANTA,desnutricion global - cronica,global peso bajo (m + g)),2007-03-01,0,1,1,0,1,1,2
21004,COLQUIRI,desnutricion global - cronica,global peso bajo (m + g)),2007-03-01,2,1,0,2,2,3,5
40301,CORQUE,desnutricion global - cronica,global peso bajo (m + g)),2007-03-01,4,9,8,5,12,14,26
70102,COTOCA,desnutricion global - cronica,global peso bajo (m + g)),2007-03-01,2,13,1,0,3,13,16
40401,CURAHUARA DE CARANGAS,desnutricion global - cronica,global peso bajo (m + g)),2007-03-01,0,0,0,2,0,2,2
60502,EL PUENTE(TJA),desnutricion global - cronica,global peso bajo (m + g)),2007-03-01,0,0,1,0,1,0,1
10405,EL VILLAR,desnutricion global - cronica,global peso bajo (m + g)),2007-03-01,8,0,0,0,8,0,8
60601,ENTRE RIOS,desnutricion global - cronica,global peso bajo (m + g)),2007-03-01,2,3,0,4,2,7,9
21001,INQUISIVI,desnutricion global - cronica,global peso bajo (m + g)),2007-03-01,7,2,5,4,12,6,18
70104,LA GUARDIA,desnutricion global - cronica,global peso bajo (m + g)),2007-03-01,1,6,1,5,2,11,13
50203,LLALLAGUA,desnutricion global - cronica,global peso bajo (m + g)),2007-03-01,6,5,3,3,9,8,17
40702,MACHACAMARCA,desnutricion global - cronica,global peso bajo (m + g)),2007-03-01,2,3,0,1,2,4,6
30302,MOROCHATA,desnutricion global - cronica,global peso bajo (m + g)),2007-03-01,1,2,0,0,1,2,3
40101,ORURO,desnutricion global - cronica,global peso bajo (m + g)),2007-03-01,20,13,5,10,25,23,48
30202,PASORAPA,desnutricion global - cronica,global peso bajo (m + g)),2007-03-01,0,1,0,0,0,1,1
50403,POCOATA,desnutricion global - cronica,global peso bajo (m + g)),2007-03-01,4,2,4,7,8,9,17
40601,POOPO,desnutricion global - cronica,global peso bajo (m + g)),2007-03-01,0,1,1,4,1,5,6
10302,PRESTO,desnutricion global - cronica,global peso bajo (m + g)),2007-03-01,14,12,5,7,19,19,38
30901,QUILLACOLLO,desnutricion global - cronica,global peso bajo (m + g)),2007-03-01,0,1,0,0,0,1,1
40801,SALINAS DE GARCI MENDOZA,desnutricion global - cronica,global peso bajo (m + g)),2007-03-01,10,10,5,8,15,18,33
31403,SAN BENITO,desnutricion global - cronica,global peso bajo (m + g)),2007-03-01,2,3,2,0,4,3,7
80501,SAN IGNACIO,desnutricion global - cronica,global peso bajo (m + g)),2007-03-01,0,0,0,1,0,1,1
70301,SAN IGNACIO DE VELASCO,desnutricion global - cronica,global peso bajo (m + g)),2007-03-01,6,2,3,5,9,7,16
60501,SAN LORENZO(TJA),desnutricion global - cronica,global peso bajo (m + g)),2007-03-01,6,6,5,3,11,9,20
10702,SAN LUCAS,desnutricion global - cronica,global peso bajo (m + g)),2007-03-01,4,1,1,3,5,4,9
70101,SANTA CRUZ DE LA SIERRA,desnutricion global - cronica,global peso bajo (m + g)),2007-03-01,296,256,124,87,420,343,763
80303,SANTA ROSA,desnutricion global - cronica,global peso bajo (m + g)),2007-03-01,4,7,0,1,4,8,12
30902,SIPE SIPE,desnutricion global - cronica,global peso bajo (m + g)),2007-03-01,0,2,0,3,0,5,5
40104,SORACACHI,desnutricion global - cronica,global peso bajo (m + g)),2007-03-01,4,1,2,1,6,2,8
10101,SUCRE,desnutricion global - cronica,global peso bajo (m + g)),2007-03-01,5,5,2,4,7,9,16
31404,TACACHI,desnutricion global - cronica,global peso bajo (m + g)),2007-03-01,1,0,1,0,2,0,2
50303,TACOBAMBA,desnutricion global - cronica,global peso bajo (m + g)),2007-03-01,5,3,1,1,6,4,10
30401,TARATA,desnutricion global - cronica,global peso bajo (m + g)),2007-03-01,0,2,1,2,1,4,5
10202,TARVITA,desnutricion global - cronica,global peso bajo (m + g)),2007-03-01,5,1,5,9,10,10,20
30803,TOLATA,desnutricion global - cronica,global peso bajo (m + g)),2007-03-01,0,2,0,1,0,3,3
41001,TOLEDO,desnutricion global - cronica,global peso bajo (m + g)),2007-03-01,4,5,4,3,8,8,16
50502,TORO TORO,desnutricion global - cronica,global peso bajo (m + g)),2007-03-01,24,25,16,24,40,49,89
41301,TOTORA(ORR),desnutricion global - cronica,global peso bajo (m + g)),2007-03-01,0,1,1,0,1,1,2
40402,TURCO,desnutricion global - cronica,global peso bajo (m + g)),2007-03-01,0,0,0,2,0,2,2
30502,VACAS,desnutricion global - cronica,global peso bajo (m + g)),2007-03-01,6,2,0,2,6,4,10
31402,VILLA RIVERO,desnutricion global - cronica,global peso bajo (m + g)),2007-03-01,0,1,2,1,2,2,4
60301,YACUIBA,desnutricion global - cronica,global peso bajo (m + g)),2007-03-01,0,6,1,2,1,8,9
10602,YAMPARAEZ,desnutricion global - cronica,global peso bajo (m + g)),2007-03-01,4,3,3,4,7,7,14
60402,YUNCHARA,desnutricion global - cronica,global peso bajo (m + g)),2007-03-01,6,3,4,4,10,7,17
51302,ACACIO,desnutricion global - cronica,global peso bajo (m + g)),2007-04-01,4,3,3,3,7,6,13
30201,AIQUILE,desnutricion global - cronica,global peso bajo (m + g)),2007-04-01,1,1,1,0,2,1,3
31303,ALALAY,desnutricion global - cronica,global peso bajo (m + g)),2007-04-01,0,1,2,3,2,4,6
41201,ANDAMARCA,desnutricion global - cronica,global peso bajo (m + g)),2007-04-01,3,1,1,2,4,3,7
30402,ANZALDO,desnutricion global - cronica,global peso bajo (m + g)),2007-04-01,0,6,0,0,0,6,6
30403,ARBIETO,desnutricion global - cronica,global peso bajo (m + g)),2007-04-01,3,0,3,1,6,1,7
30601,ARQUE,desnutricion global - cronica,global peso bajo (m + g)),2007-04-01,0,1,1,2,1,3,4
41202,BELEN DE ANDAMARCA,desnutricion global - cronica,global peso bajo (m + g)),2007-04-01,0,2,0,0,0,2,2
70401,BUENA VISTA,desnutricion global - cronica,global peso bajo (m + g)),2007-04-01,3,1,3,0,6,1,7
40102,CARACOLLO,desnutricion global - cronica,global peso bajo (m + g)),2007-04-01,1,1,1,0,2,1,3
50702,CARIPUYO,desnutricion global - cronica,global peso bajo (m + g)),2007-04-01,9,4,9,11,18,15,33
40201,CHALLAPATA,desnutricion global - cronica,global peso bajo (m + g)),2007-04-01,9,16,11,12,20,28,48
50202,CHAYANTA,desnutricion global - cronica,global peso bajo (m + g)),2007-04-01,0,2,1,1,1,3,4
40302,CHOQUE COTA,desnutricion global - cronica,global peso bajo (m + g)),2007-04-01,1,0,0,0,1,0,1
50401,COLQUECHACA,desnutricion global - cronica,global peso bajo (m + g)),2007-04-01,1,1,0,0,1,1,2
40301,CORQUE,desnutricion global - cronica,global peso bajo (m + g)),2007-04-01,2,3,2,2,4,5,9
70102,COTOCA,desnutricion global - cronica,global peso bajo (m + g)),2007-04-01,3,15,1,2,4,17,21
40401,CURAHUARA DE CARANGAS,desnutricion global - cronica,global peso bajo (m + g)),2007-04-01,0,2,3,0,3,2,5
70105,EL TORNO,desnutricion global - cronica,global peso bajo (m + g)),2007-04-01,2,3,3,1,5,4,9
60601,ENTRE RIOS,desnutricion global - cronica,global peso bajo (m + g)),2007-04-01,0,0,1,0,1,0,1
21005,ICHOCA,desnutricion global - cronica,global peso bajo (m + g)),2007-04-01,2,0,0,0,2,0,2
10304,ICLA,desnutricion global - cronica,global peso bajo (m + g)),2007-04-01,1,0,1,2,2,2,4
21001,INQUISIVI,desnutricion global - cronica,global peso bajo (m + g)),2007-04-01,4,2,6,1,10,3,13
70104,LA GUARDIA,desnutricion global - cronica,global peso bajo (m + g)),2007-04-01,8,16,8,2,16,18,34
50203,LLALLAGUA,desnutricion global - cronica,global peso bajo (m + g)),2007-04-01,3,6,2,2,5,8,13
31301,MIZQUE,desnutricion global - cronica,global peso bajo (m + g)),2007-04-01,0,0,1,1,1,1,2
10303,MOJOCOYA,desnutricion global - cronica,global peso bajo (m + g)),2007-04-01,2,0,2,1,4,1,5
30302,MOROCHATA,desnutricion global - cronica,global peso bajo (m + g)),2007-04-01,6,1,2,0,8,1,9
40101,ORURO,desnutricion global - cronica,global peso bajo (m + g)),2007-04-01,30,20,19,15,49,35,84
10401,PADILLA,desnutricion global - cronica,global peso bajo (m + g)),2007-04-01,7,5,4,6,11,11,22
50403,POCOATA,desnutricion global - cronica,global peso bajo (m + g)),2007-04-01,4,7,2,2,6,9,15
40601,POOPO,desnutricion global - cronica,global peso bajo (m + g)),2007-04-01,4,2,6,2,10,4,14
51203,PORCO,desnutricion global - cronica,global peso bajo (m + g)),2007-04-01,1,3,2,3,3,6,9
10302,PRESTO,desnutricion global - cronica,global peso bajo (m + g)),2007-04-01,12,9,7,4,19,13,32
50402,RAVELO,desnutricion global - cronica,global peso bajo (m + g)),2007-04-01,45,39,34,48,79,87,166
80304,RURRENABAQUE,desnutricion global - cronica,global peso bajo (m + g)),2007-04-01,1,0,2,0,3,0,3
40901,SABAYA,desnutricion global - cronica,global peso bajo (m + g)),2007-04-01,1,2,0,1,1,3,4
30404,SACABAMBA,desnutricion global - cronica,global peso bajo (m + g)),2007-04-01,1,0,1,0,2,0,2
40801,SALINAS DE GARCI MENDOZA,desnutricion global - cronica,global peso bajo (m + g)),2007-04-01,1,1,0,0,1,1,2
80302,SAN BORJA,desnutricion global - cronica,global peso bajo (m + g)),2007-04-01,1,0,0,0,1,0,1
80501,SAN IGNACIO,desnutricion global - cronica,global peso bajo (m + g)),2007-04-01,0,0,1,2,1,2,3
60501,SAN LORENZO(TJA),desnutricion global - cronica,global peso bajo (m + g)),2007-04-01,6,7,6,5,12,12,24
10702,SAN LUCAS,desnutricion global - cronica,global peso bajo (m + g)),2007-04-01,6,34,5,7,11,41,52
70101,SANTA CRUZ DE LA SIERRA,desnutricion global - cronica,global peso bajo (m + g)),2007-04-01,160,132,64,48,224,180,404
10403,SOPACHUY,desnutricion global - cronica,global peso bajo (m + g)),2007-04-01,3,2,0,7,3,9,12
40104,SORACACHI,desnutricion global - cronica,global peso bajo (m + g)),2007-04-01,3,3,5,1,8,4,12
10101,SUCRE,desnutricion global - cronica,global peso bajo (m + g)),2007-04-01,2,0,0,0,2,0,2
31101,TAPACARI,desnutricion global - cronica,global peso bajo (m + g)),2007-04-01,9,4,1,2,10,6,16
41001,TOLEDO,desnutricion global - cronica,global peso bajo (m + g)),2007-04-01,2,5,4,3,6,8,14
50502,TORO TORO,desnutricion global - cronica,global peso bajo (m + g)),2007-04-01,1,0,0,1,1,1,2
41301,TOTORA(ORR),desnutricion global - cronica,global peso bajo (m + g)),2007-04-01,0,0,1,1,1,1,2
80101,TRINIDAD,desnutricion global - cronica,global peso bajo (m + g)),2007-04-01,1,0,0,0,1,0,1
40402,TURCO,desnutricion global - cronica,global peso bajo (m + g)),2007-04-01,3,0,0,0,3,0,3
30502,VACAS,desnutricion global - cronica,global peso bajo (m + g)),2007-04-01,4,1,1,4,5,5,10
31402,VILLA RIVERO,desnutricion global - cronica,global peso bajo (m + g)),2007-04-01,0,3,3,2,3,5,8
31003,VILLA TUNARI,desnutricion global - cronica,global peso bajo (m + g)),2007-04-01,3,5,3,3,6,8,14
60301,YACUIBA,desnutricion global - cronica,global peso bajo (m + g)),2007-04-01,0,0,0,1,0,1,1
70403,YAPACANI,desnutricion global - cronica,global peso bajo (m + g)),2007-04-01,12,10,4,9,16,19,35
60402,YUNCHARA,desnutricion global - cronica,global peso bajo (m + g)),2007-04-01,6,0,5,7,11,7,18
30201,AIQUILE,desnutricion global - cronica,global peso bajo (m + g)),2007-05-01,3,6,3,2,6,8,14
31303,ALALAY,desnutricion global - cronica,global peso bajo (m + g)),2007-05-01,5,4,0,0,5,4,9
41201,ANDAMARCA,desnutricion global - cronica,global peso bajo (m + g)),2007-05-01,3,1,0,0,3,1,4
30402,ANZALDO,desnutricion global - cronica,global peso bajo (m + g)),2007-05-01,1,0,0,1,1,1,2
30501,ARANI,desnutricion global - cronica,global peso bajo (m + g)),2007-05-01,3,6,3,3,6,9,15
30403,ARBIETO,desnutricion global - cronica,global peso bajo (m + g)),2007-05-01,0,1,1,2,1,3,4
30601,ARQUE,desnutricion global - cronica,global peso bajo (m + g)),2007-05-01,0,2,0,5,0,7,7
50301,BETANZOS,desnutricion global - cronica,global peso bajo (m + g)),2007-05-01,6,1,4,4,10,5,15
10701,CAMARGO,desnutricion global - cronica,global peso bajo (m + g)),2007-05-01,1,0,2,0,3,0,3
50702,CARIPUYO,desnutricion global - cronica,global peso bajo (m + g)),2007-05-01,11,7,9,13,20,20,40
40201,CHALLAPATA,desnutricion global - cronica,global peso bajo (m + g)),2007-05-01,15,14,7,8,22,22,44
50202,CHAYANTA,desnutricion global - cronica,global peso bajo (m + g)),2007-05-01,1,2,1,1,2,3,5
40302,CHOQUE COTA,desnutricion global - cronica,global peso bajo (m + g)),2007-05-01,1,0,0,0,1,0,1
21004,COLQUIRI,desnutricion global - cronica,global peso bajo (m + g)),2007-05-01,2,0,0,1,2,1,3
71301,COMARAPA,desnutricion global - cronica,global peso bajo (m + g)),2007-05-01,0,1,1,0,1,1,2
40301,CORQUE,desnutricion global - cronica,global peso bajo (m + g)),2007-05-01,7,11,5,7,12,18,30
70102,COTOCA,desnutricion global - cronica,global peso bajo (m + g)),2007-05-01,5,8,3,4,8,12,20
40401,CURAHUARA DE CARANGAS,desnutricion global - cronica,global peso bajo (m + g)),2007-05-01,5,9,4,6,9,15,24
70105,EL TORNO,desnutricion global - cronica,global peso bajo (m + g)),2007-05-01,3,4,1,6,4,10,14
60601,ENTRE RIOS,desnutricion global - cronica,global peso bajo (m + g)),2007-05-01,2,0,0,1,2,1,3
80402,EXALTACION,desnutricion global - cronica,global peso bajo (m + g)),2007-05-01,0,0,0,2,0,2,2
21005,ICHOCA,desnutricion global - cronica,global peso bajo (m + g)),2007-05-01,0,1,0,0,0,1,1
10304,ICLA,desnutricion global - cronica,global peso bajo (m + g)),2007-05-01,0,1,1,2,1,3,4
21001,INQUISIVI,desnutricion global - cronica,global peso bajo (m + g)),2007-05-01,3,0,0,0,3,0,3
70104,LA GUARDIA,desnutricion global - cronica,global peso bajo (m + g)),2007-05-01,9,11,3,3,12,14,26
41501,LA RIVERA,desnutricion global - cronica,global peso bajo (m + g)),2007-05-01,0,1,0,0,0,1,1
50203,LLALLAGUA,desnutricion global - cronica,global peso bajo (m + g)),2007-05-01,4,6,1,1,5,7,12
31301,MIZQUE,desnutricion global - cronica,global peso bajo (m + g)),2007-05-01,0,2,0,1,0,3,3
40101,ORURO,desnutricion global - cronica,global peso bajo (m + g)),2007-05-01,44,38,27,29,71,67,138
60201,PADCAYA,desnutricion global - cronica,global peso bajo (m + g)),2007-05-01,0,0,1,0,1,0,1
30202,PASORAPA,desnutricion global - cronica,global peso bajo (m + g)),2007-05-01,11,0,0,1,11,1,12
40602,PAZÑA,desnutricion global - cronica,global peso bajo (m + g)),2007-05-01,0,1,0,0,0,1,1
50403,POCOATA,desnutricion global - cronica,global peso bajo (m + g)),2007-05-01,0,4,1,5,1,9,10
31202,POJO (CBBA),desnutricion global - cronica,global peso bajo (m + g)),2007-05-01,0,0,1,0,1,0,1
40601,POOPO,desnutricion global - cronica,global peso bajo (m + g)),2007-05-01,2,2,1,0,3,2,5
51203,PORCO,desnutricion global - cronica,global peso bajo (m + g)),2007-05-01,1,5,1,1,2,6,8
10103,POROMA,desnutricion global - cronica,global peso bajo (m + g)),2007-05-01,1,0,0,1,1,1,2
70103,PORONGO,desnutricion global - cronica,global peso bajo (m + g)),2007-05-01,0,0,0,1,0,1,1
10302,PRESTO,desnutricion global - cronica,global peso bajo (m + g)),2007-05-01,11,7,9,7,20,14,34
80304,RURRENABAQUE,desnutricion global - cronica,global peso bajo (m + g)),2007-05-01,2,1,0,2,2,3,5
