codigo_municipio,municipio,grupo,variable,mes,hombres menores a 2 años,mujeres menores a 2 años,hombres de 2 a 4 años,mujeres de 2 a 4 años,hombres total,mujeres total,total
30201,AIQUILE,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,0,1,1,3,1,4,5
30403,ARBIETO,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,1,2,2,1,3,3,6
41202,BELEN DE ANDAMARCA,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,1,0,0,0,1,0,1
50301,BETANZOS,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,2,6,4,5,6,11,17
50702,CARIPUYO,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,4,5,10,12,14,17,31
40201,CHALLAPATA,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,4,9,2,4,6,13,19
50202,CHAYANTA,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,1,2,1,6,2,8,10
40302,CHOQUE COTA,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,1,1,0,1,1,2,3
30905,COLCAPIRHUA,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,0,0,0,8,0,8,8
21004,COLQUIRI,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,2,1,0,0,2,1,3
40301,CORQUE,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,2,3,3,6,5,9,14
40401,CURAHUARA DE CARANGAS,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,3,1,3,1,6,2,8
40103,EL CHORO,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,1,1,0,1,1,2,3
60601,ENTRE RIOS,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,0,1,0,0,0,1,1
41101,EUCALIPTUS,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,0,1,0,0,0,1,1
21001,INQUISIVI,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,7,2,3,3,10,5,15
70104,LA GUARDIA,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,3,4,4,1,7,5,12
50203,LLALLAGUA,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,6,8,3,1,9,9,18
80601,LORETO,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,5,3,1,2,6,5,11
30302,MOROCHATA,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,2,0,0,0,2,0,2
40101,ORURO,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,15,16,6,8,21,24,45
40601,POOPO,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,1,0,1,1,2,1,3
80301,REYES,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,4,4,3,1,7,5,12
40901,SABAYA,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,3,2,1,1,4,3,7
40801,SALINAS DE GARCI MENDOZA,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,1,0,2,0,3,0,3
80602,SAN ANDRES,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,33,32,34,33,67,65,132
80102,SAN JAVIER(BNI),desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,15,5,7,16,22,21,43
60501,SAN LORENZO(TJA),desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,0,10,4,5,4,15,19
50501,SAN PEDRO DE BUENA VISTA,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,3,0,0,0,3,0,3
70101,SANTA CRUZ DE LA SIERRA,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,327,294,187,146,514,440,954
40104,SORACACHI,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,0,2,1,0,1,2,3
10101,SUCRE,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,113,1,2,2,115,3,118
30401,TARATA,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,1,0,0,0,1,0,1
30803,TOLATA,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,0,0,1,0,1,0,1
41001,TOLEDO,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,1,0,1,0,2,0,2
50502,TORO TORO,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,2,0,0,0,2,0,2
41301,TOTORA(ORR),desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,20,26,12,20,32,46,78
80101,TRINIDAD,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,87,91,15,25,102,116,218
40402,TURCO,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,0,1,1,0,1,1,2
31003,VILLA TUNARI,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,1,0,0,0,1,0,1
60301,YACUIBA,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,3,2,0,0,3,2,5
60402,YUNCHARA,desnutricion global - cronica,global peso bajo (m + g)),2007-01-01,2,3,3,7,5,10,15
30201,AIQUILE,desnutricion global - cronica,global peso bajo (m + g)),2007-02-01,0,2,1,2,1,4,5
41201,ANDAMARCA,desnutricion global - cronica,global peso bajo (m + g)),2007-02-01,1,1,0,0,1,1,2
30402,ANZALDO,desnutricion global - cronica,global peso bajo (m + g)),2007-02-01,4,2,2,5,6,7,13
