codigo_municipio,municipio,grupo,variable,mes,de-1-ano_masculino,de-1-ano-1_femenino,1-a-menor-de-2-anos_masculino,1-a-menor-de-2-anos-1_femenino,2-a-menor-de-5-anos_masculino,2-a-menor-de-5-anos-1_femenino,totales_total-m,totales-1_total-f,totales-2_total
40801,SALINAS DE GARCI MENDOZA,talla para la edad (t/e),talla baja (tb),2008-01-01,1,0,4,7,9,3,14,10,24
51003,SAN ANTONIO DE ESMORUCO,talla para la edad (t/e),talla baja (tb),2008-01-01,0,0,1,0,0,0,1,0,1
80302,SAN BORJA,talla para la edad (t/e),talla baja (tb),2008-01-01,10,9,9,9,15,17,34,35,69
80501,SAN IGNACIO,talla para la edad (t/e),talla baja (tb),2008-01-01,4,1,0,0,1,2,5,3,8
70301,SAN IGNACIO DE VELASCO,talla para la edad (t/e),talla baja (tb),2008-01-01,0,1,5,2,9,6,14,9,23
60501,SAN LORENZO(TJA),talla para la edad (t/e),talla baja (tb),2008-01-01,2,3,2,7,4,8,8,18,26
10702,SAN LUCAS,talla para la edad (t/e),talla baja (tb),2008-01-01,8,4,5,6,10,15,23,25,48
70302,SAN MIGUEL DE VELASCO,talla para la edad (t/e),talla baja (tb),2008-01-01,0,0,0,1,0,0,0,1,1
51001,SAN PABLO DE LIPEZ,talla para la edad (t/e),talla baja (tb),2008-01-01,1,0,1,4,1,7,3,11,14
21702,SAN PEDRO DE TIQUINA,talla para la edad (t/e),talla baja (tb),2008-01-01,0,0,0,0,0,1,0,1,1
80401,SANTA ANA,talla para la edad (t/e),talla baja (tb),2008-01-01,0,0,14,10,2,2,16,12,28
70101,SANTA CRUZ DE LA SIERRA,talla para la edad (t/e),talla baja (tb),2008-01-01,1,0,0,0,0,0,1,0,1
41401,SANTIAGO DE HUARI,talla para la edad (t/e),talla baja (tb),2008-01-01,0,0,0,1,0,0,0,1,1
21901,SANTIAGO DE MACHACA,talla para la edad (t/e),talla baja (tb),2008-01-01,7,3,3,1,3,3,13,7,20
20902,SAPAHAQUI,talla para la edad (t/e),talla baja (tb),2008-01-01,1,2,4,3,7,4,12,9,21
40104,SORACACHI,talla para la edad (t/e),talla baja (tb),2008-01-01,4,5,7,6,21,21,32,32,64
10101,SUCRE,talla para la edad (t/e),talla baja (tb),2008-01-01,0,0,5,2,8,5,13,7,20
31404,TACACHI,talla para la edad (t/e),talla baja (tb),2008-01-01,0,0,0,0,2,0,2,0,2
30602,TACOPAYA,talla para la edad (t/e),talla baja (tb),2008-01-01,3,3,3,3,12,9,18,15,33
31101,TAPACARI,talla para la edad (t/e),talla baja (tb),2008-01-01,0,0,7,0,0,0,7,0,7
20807,TARACO,talla para la edad (t/e),talla baja (tb),2008-01-01,1,3,2,0,1,2,4,5,9
30401,TARATA,talla para la edad (t/e),talla baja (tb),2008-01-01,1,0,0,0,0,0,1,0,1
60101,TARIJA,talla para la edad (t/e),talla baja (tb),2008-01-01,0,0,0,0,0,9,0,9,9
10202,TARVITA,talla para la edad (t/e),talla baja (tb),2008-01-01,42,25,47,31,118,90,207,146,353
50102,TINGUIPAYA,talla para la edad (t/e),talla baja (tb),2008-01-01,7,5,6,4,12,7,25,16,41
30903,TIQUIPAYA,talla para la edad (t/e),talla baja (tb),2008-01-01,0,0,0,1,0,0,0,1,1
31601,TIRAQUE (CBBA),talla para la edad (t/e),talla baja (tb),2008-01-01,13,17,11,9,10,13,34,39,73
21703,TITO YUPANQUI (PARQUIPUJIO),talla para la edad (t/e),talla baja (tb),2008-01-01,2,1,1,0,2,10,5,11,16
30802,TOCO,talla para la edad (t/e),talla baja (tb),2008-01-01,0,1,3,0,0,0,3,1,4
30803,TOLATA,talla para la edad (t/e),talla baja (tb),2008-01-01,0,0,1,0,0,0,1,0,1
41001,TOLEDO,talla para la edad (t/e),talla baja (tb),2008-01-01,1,0,0,0,3,0,4,0,4
50502,TORO TORO,talla para la edad (t/e),talla baja (tb),2008-01-01,3,5,13,6,13,13,29,24,53
31201,TOTORA(CBBA),talla para la edad (t/e),talla baja (tb),2008-01-01,0,0,1,2,1,1,2,3,5
41301,TOTORA(ORR),talla para la edad (t/e),talla baja (tb),2008-01-01,0,2,1,1,1,1,2,4,6
80101,TRINIDAD,talla para la edad (t/e),talla baja (tb),2008-01-01,5,4,11,4,9,5,25,13,38
50801,TUPIZA,talla para la edad (t/e),talla baja (tb),2008-01-01,20,12,35,34,50,39,105,85,190
40402,TURCO,talla para la edad (t/e),talla baja (tb),2008-01-01,2,1,2,1,1,4,5,6,11
51201,UYUNI,talla para la edad (t/e),talla baja (tb),2008-01-01,0,0,0,1,1,0,1,1,2
70801,VALLEGRANDE,talla para la edad (t/e),talla baja (tb),2008-01-01,0,0,0,1,0,0,0,1,1
20801,VIACHA,talla para la edad (t/e),talla baja (tb),2008-01-01,3,7,3,2,1,2,7,11,18
31003,VILLA TUNARI,talla para la edad (t/e),talla baja (tb),2008-01-01,5,5,16,14,23,30,44,49,93
50602,VITICHI,talla para la edad (t/e),talla baja (tb),2008-01-01,2,2,2,1,3,3,7,6,13
60301,YACUIBA,talla para la edad (t/e),talla baja (tb),2008-01-01,11,8,22,18,25,35,58,61,119
10602,YAMPARAEZ,talla para la edad (t/e),talla baja (tb),2008-01-01,21,22,24,18,71,64,116,104,220
60402,YUNCHARA,talla para la edad (t/e),talla baja (tb),2008-01-01,1,3,6,5,18,12,25,20,45
20201,ACHACACHI,talla para la edad (t/e),talla baja (tb),2008-02-01,10,8,10,5,16,21,36,34,70
20104,ACHOCALLA,talla para la edad (t/e),talla baja (tb),2008-02-01,1,0,1,0,2,4,4,4,8
31303,ALALAY,talla para la edad (t/e),talla baja (tb),2008-02-01,0,1,0,1,0,1,0,3,3
41201,ANDAMARCA,talla para la edad (t/e),talla baja (tb),2008-02-01,2,5,11,6,8,15,21,26,47
40603,ANTEQUERA,talla para la edad (t/e),talla baja (tb),2008-02-01,2,2,0,0,8,6,10,8,18
30402,ANZALDO,talla para la edad (t/e),talla baja (tb),2008-02-01,3,1,5,2,2,1,10,4,14
20701,APOLO,talla para la edad (t/e),talla baja (tb),2008-02-01,1,6,5,7,17,13,23,26,49
30501,ARANI,talla para la edad (t/e),talla baja (tb),2008-02-01,0,2,0,0,1,4,1,6,7
30403,ARBIETO,talla para la edad (t/e),talla baja (tb),2008-02-01,2,4,6,4,2,8,10,16,26
71501,ASCENCION DE GUARAYOS,talla para la edad (t/e),talla baja (tb),2008-02-01,0,0,18,9,0,0,18,9,27
50802,ATOCHA,talla para la edad (t/e),talla baja (tb),2008-02-01,8,2,5,10,15,19,28,31,59
20503,AUCAPATA,talla para la edad (t/e),talla baja (tb),2008-02-01,1,0,2,2,2,2,5,4,9
20502,AYATA,talla para la edad (t/e),talla baja (tb),2008-02-01,6,6,11,8,14,11,31,25,56
21203,BATALLAS,talla para la edad (t/e),talla baja (tb),2008-02-01,8,2,15,10,7,8,30,20,50
80802,BAURES,talla para la edad (t/e),talla baja (tb),2008-02-01,1,3,4,1,1,6,6,10,16
60202,BERMEJO,talla para la edad (t/e),talla baja (tb),2008-02-01,0,0,2,1,3,3,5,4,9
50301,BETANZOS,talla para la edad (t/e),talla baja (tb),2008-02-01,1,1,1,4,3,5,5,10,15
20905,CAIROMA,talla para la edad (t/e),talla baja (tb),2008-02-01,5,2,3,4,10,9,18,15,33
20303,CALACOTO,talla para la edad (t/e),talla baja (tb),2008-02-01,0,0,0,2,0,0,0,2,2
21304,CALAMARCA,talla para la edad (t/e),talla baja (tb),2008-02-01,11,24,24,30,40,43,75,97,172
10701,CAMARGO,talla para la edad (t/e),talla baja (tb),2008-02-01,9,12,19,19,39,30,67,61,128
10901,CAMATAQUI (C. VILLA ABECIA),talla para la edad (t/e),talla baja (tb),2008-02-01,1,1,0,1,1,1,2,3,5
30701,CAPINOTA,talla para la edad (t/e),talla baja (tb),2008-02-01,2,0,2,1,1,1,5,2,7
40102,CARACOLLO,talla para la edad (t/e),talla baja (tb),2008-02-01,10,6,13,10,9,7,32,23,55
50702,CARIPUYO,talla para la edad (t/e),talla baja (tb),2008-02-01,22,24,57,27,86,85,165,136,301
71403,CARMEN RIVERO TORREZ,talla para la edad (t/e),talla baja (tb),2008-02-01,0,0,3,2,0,0,3,2,5
21902,CATACORA,talla para la edad (t/e),talla baja (tb),2008-02-01,1,1,2,6,11,12,14,19,33
40201,CHALLAPATA,talla para la edad (t/e),talla baja (tb),2008-02-01,17,18,31,31,37,48,85,97,182
50302,CHAQUI,talla para la edad (t/e),talla baja (tb),2008-02-01,0,0,2,0,3,3,5,3,8
50202,CHAYANTA,talla para la edad (t/e),talla baja (tb),2008-02-01,2,2,2,2,1,1,5,5,10
40302,CHOQUE COTA,talla para la edad (t/e),talla baja (tb),2008-02-01,0,0,0,0,1,0,1,0,1
20501,CHUMA,talla para la edad (t/e),talla baja (tb),2008-02-01,7,7,22,20,28,35,57,62,119
30801,CLIZA,talla para la edad (t/e),talla baja (tb),2008-02-01,3,1,4,6,0,4,7,11,18
90101,COBIJA,talla para la edad (t/e),talla baja (tb),2008-02-01,0,0,1,0,4,2,5,2,7
40902,COIPASA,talla para la edad (t/e),talla baja (tb),2008-02-01,0,0,0,1,2,0,2,1,3
50901,"COLCHA ""K""",talla para la edad (t/e),talla baja (tb),2008-02-01,0,1,2,3,4,2,6,6,12
21307,COLLANA,talla para la edad (t/e),talla baja (tb),2008-02-01,2,0,0,1,1,4,3,5,8
31002,COLOMI,talla para la edad (t/e),talla baja (tb),2008-02-01,8,6,11,5,20,16,39,27,66
21004,COLQUIRI,talla para la edad (t/e),talla baja (tb),2008-02-01,2,4,0,1,2,6,4,11,15
20605,COMBAYA,talla para la edad (t/e),talla baja (tb),2008-02-01,0,0,1,4,0,1,1,5,6
21701,COPACABANA,talla para la edad (t/e),talla baja (tb),2008-02-01,5,3,4,4,2,2,11,9,20
21402,CORIPATA,talla para la edad (t/e),talla baja (tb),2008-02-01,0,0,0,1,4,3,4,4,8
20301,CORO CORO,talla para la edad (t/e),talla baja (tb),2008-02-01,5,4,4,6,6,10,15,20,35
21401,COROICO,talla para la edad (t/e),talla baja (tb),2008-02-01,10,8,13,12,25,15,48,35,83
40301,CORQUE,talla para la edad (t/e),talla baja (tb),2008-02-01,3,3,3,2,4,4,10,9,19
50601,COTAGAITA,talla para la edad (t/e),talla baja (tb),2008-02-01,3,3,5,8,14,9,22,20,42
40401,CURAHUARA DE CARANGAS,talla para la edad (t/e),talla baja (tb),2008-02-01,8,4,13,5,9,7,30,16,46
21602,CURVA,talla para la edad (t/e),talla baja (tb),2008-02-01,2,4,5,2,11,7,18,13,31
20804,DESAGUADERO,talla para la edad (t/e),talla baja (tb),2008-02-01,2,2,2,2,1,3,5,7,12
20105,EL ALTO,talla para la edad (t/e),talla baja (tb),2008-02-01,168,158,230,174,220,228,618,560,1178
40103,EL CHORO,talla para la edad (t/e),talla baja (tb),2008-02-01,5,5,4,3,4,3,13,11,24
60502,EL PUENTE(TJA),talla para la edad (t/e),talla baja (tb),2008-02-01,10,9,11,8,20,20,41,37,78
60601,ENTRE RIOS,talla para la edad (t/e),talla baja (tb),2008-02-01,1,0,6,3,10,5,17,8,25
60601,ENTRE RIOS,talla para la edad (t/e),talla baja (tb),2008-02-01,1,6,1,4,0,0,2,10,12
41101,EUCALIPTUS,talla para la edad (t/e),talla baja (tb),2008-02-01,1,1,5,4,16,15,22,20,42
21601,GRAL. J.J. PEREZ (CHARAZANI),talla para la edad (t/e),talla baja (tb),2008-02-01,9,5,13,8,22,25,44,38,82
20802,GUAQUI,talla para la edad (t/e),talla baja (tb),2008-02-01,1,1,0,0,1,0,2,1,3
40501,HUACHACALLA,talla para la edad (t/e),talla baja (tb),2008-02-01,0,0,2,0,1,0,3,0,3
40701,HUANUNI,talla para la edad (t/e),talla baja (tb),2008-02-01,2,1,0,0,1,0,3,1,4
80803,HUARACAJE,talla para la edad (t/e),talla baja (tb),2008-02-01,0,0,4,0,1,1,5,1,6
41601,HUAYLLAMARCA,talla para la edad (t/e),talla baja (tb),2008-02-01,2,0,1,2,3,4,6,6,12
10304,ICLA,talla para la edad (t/e),talla baja (tb),2008-02-01,14,11,52,48,117,114,183,173,356
10703,INCAHUASI,talla para la edad (t/e),talla baja (tb),2008-02-01,39,41,90,73,178,182,307,296,603
21001,INQUISIVI,talla para la edad (t/e),talla baja (tb),2008-02-01,3,4,11,10,17,15,31,29,60
21102,IRUPANA (VILLA DE LANZA),talla para la edad (t/e),talla baja (tb),2008-02-01,0,0,1,0,2,1,3,1,4
21501,IXIAMAS,talla para la edad (t/e),talla baja (tb),2008-02-01,4,1,2,4,6,13,12,18,30
20806,JESUS DE MACHACA,talla para la edad (t/e),talla baja (tb),2008-02-01,12,10,16,12,26,21,54,43,97
20101,LA PAZ,talla para la edad (t/e),talla baja (tb),2008-02-01,56,36,53,36,56,68,165,140,305
70701,LAGUNILLAS,talla para la edad (t/e),talla baja (tb),2008-02-01,0,0,0,1,0,0,0,1,1
21202,LAJA,talla para la edad (t/e),talla baja (tb),2008-02-01,4,4,3,1,3,5,10,10,20
10903,LAS CARRERAS,talla para la edad (t/e),talla baja (tb),2008-02-01,0,0,0,0,0,1,0,1,1
21006,LICOMA PAMPA,talla para la edad (t/e),talla baja (tb),2008-02-01,1,0,3,1,2,5,6,6,12
50203,LLALLAGUA,talla para la edad (t/e),talla baja (tb),2008-02-01,4,1,2,4,9,9,15,14,29
51401,LLICA,talla para la edad (t/e),talla baja (tb),2008-02-01,0,3,1,2,0,3,1,8,9
20901,LURIBAY,talla para la edad (t/e),talla baja (tb),2008-02-01,4,4,4,5,11,10,19,19,38
40702,MACHACAMARCA,talla para la edad (t/e),talla baja (tb),2008-02-01,0,0,2,0,4,1,6,1,7
80801,MAGDALENA,talla para la edad (t/e),talla baja (tb),2008-02-01,1,1,1,1,0,0,2,2,4
20904,MALLA,talla para la edad (t/e),talla baja (tb),2008-02-01,4,0,3,3,12,13,19,16,35
31301,MIZQUE,talla para la edad (t/e),talla baja (tb),2008-02-01,4,1,0,1,0,3,4,5,9
20402,MOCOMOCO,talla para la edad (t/e),talla baja (tb),2008-02-01,5,8,18,11,11,10,34,29,63
51002,MOJINETE,talla para la edad (t/e),talla baja (tb),2008-02-01,0,1,0,0,1,2,1,3,4
70803,MORO MORO,talla para la edad (t/e),talla baja (tb),2008-02-01,3,3,2,1,1,7,6,11,17
30302,MOROCHATA,talla para la edad (t/e),talla baja (tb),2008-02-01,10,10,11,16,9,9,30,35,65
20307,NAZACARA DE PACAJES,talla para la edad (t/e),talla baja (tb),2008-02-01,1,1,0,0,0,0,1,1,2
50404,OCURI,talla para la edad (t/e),talla baja (tb),2008-02-01,24,14,25,22,15,11,64,47,111
40101,ORURO,talla para la edad (t/e),talla baja (tb),2008-02-01,38,39,27,28,50,46,115,113,228
60201,PADCAYA,talla para la edad (t/e),talla baja (tb),2008-02-01,1,1,3,5,1,2,5,8,13
10401,PADILLA,talla para la edad (t/e),talla baja (tb),2008-02-01,3,1,7,6,21,4,31,11,42
20102,PALCA,talla para la edad (t/e),talla baja (tb),2008-02-01,1,0,0,0,0,0,1,0,1
40802,PAMPA AULLAGAS,talla para la edad (t/e),talla baja (tb),2008-02-01,4,2,14,10,7,15,25,27,52
21802,PAPEL PAMPA,talla para la edad (t/e),talla baja (tb),2008-02-01,0,0,0,0,1,0,1,0,1
21305,PATACAMAYA,talla para la edad (t/e),talla baja (tb),2008-02-01,0,1,2,2,3,2,5,5,10
40602,PAZÑA,talla para la edad (t/e),talla baja (tb),2008-02-01,3,0,4,3,4,4,11,7,18
20702,PELECHUCO,talla para la edad (t/e),talla baja (tb),2008-02-01,3,6,7,9,9,10,19,25,44
31203,POCONA,talla para la edad (t/e),talla baja (tb),2008-02-01,10,6,0,4,9,10,19,20,39
31202,POJO (CBBA),talla para la edad (t/e),talla baja (tb),2008-02-01,0,0,0,0,3,2,3,2,5
40601,POOPO,talla para la edad (t/e),talla baja (tb),2008-02-01,2,0,4,1,1,0,7,1,8
10103,POROMA,talla para la edad (t/e),talla baja (tb),2008-02-01,25,16,48,47,57,53,130,116,246
70601,PORTACHUELO,talla para la edad (t/e),talla baja (tb),2008-02-01,0,3,2,1,3,3,5,7,12
50101,POTOSI,talla para la edad (t/e),talla baja (tb),2008-02-01,33,23,13,3,14,12,60,38,98
10302,PRESTO,talla para la edad (t/e),talla baja (tb),2008-02-01,17,7,20,20,45,47,82,74,156
21201,PUCARANI,talla para la edad (t/e),talla baja (tb),2008-02-01,3,2,0,0,2,0,5,2,7
20403,PUERTO CARABUCO,talla para la edad (t/e),talla baja (tb),2008-02-01,13,9,7,13,20,19,40,41,81
21204,PUERTO PEREZ,talla para la edad (t/e),talla baja (tb),2008-02-01,1,1,1,1,3,1,5,3,8
31205,PUERTO VILLARROEL,talla para la edad (t/e),talla baja (tb),2008-02-01,7,1,9,1,1,0,17,2,19
31401,PUNATA,talla para la edad (t/e),talla baja (tb),2008-02-01,0,0,4,1,2,6,6,7,13
30901,QUILLACOLLO,talla para la edad (t/e),talla baja (tb),2008-02-01,4,7,17,14,7,12,28,33,61
21002,QUIME,talla para la edad (t/e),talla baja (tb),2008-02-01,4,2,11,7,16,20,31,29,60
80201,RIBERALTA,talla para la edad (t/e),talla baja (tb),2008-02-01,3,1,5,4,3,4,11,9,20
80304,RURRENABAQUE,talla para la edad (t/e),talla baja (tb),2008-02-01,0,1,0,0,0,0,0,1,1
