codigo_municipio,municipio,grupo,variable,mes,< de 1 año-H,< de 1 año-M,1 a 4 años-H,1 a 4 años-M,5 a 14 años-H,5 a 14 años-M,15 a 59 años-H,15 a 59 años-M,60 y más-H,60 y más-M,TOTAL-H,TOTAL-M,TOTAL
51302,ACACIO,clasificacion general sistemica,otras causas,2001-01-01,0,0,0,0,0,0,4,0,3,0,7,0,7
20201,ACHACACHI,clasificacion general sistemica,otras causas,2001-01-01,0,0,3,0,2,0,26,0,5,0,36,0,36
20104,ACHOCALLA,clasificacion general sistemica,otras causas,2001-01-01,0,0,0,0,24,0,3,0,4,0,31,0,31
30201,AIQUILE,clasificacion general sistemica,otras causas,2001-01-01,3,0,3,0,4,0,5,0,1,0,16,0,16
31303,ALALAY,clasificacion general sistemica,otras causas,2001-01-01,0,0,0,0,0,0,6,0,0,0,6,0,6
10404,ALCALA,clasificacion general sistemica,otras causas,2001-01-01,1,0,11,0,6,0,2,0,0,0,20,0,20
20202,ANCORAIMES,clasificacion general sistemica,otras causas,2001-01-01,0,0,1,0,0,0,1,0,0,0,2,0,2
41201,ANDAMARCA,clasificacion general sistemica,otras causas,2001-01-01,0,0,2,0,1,0,16,0,0,0,19,0,19
40603,ANTEQUERA,clasificacion general sistemica,otras causas,2001-01-01,0,0,0,0,0,0,1,0,1,0,2,0,2
30402,ANZALDO,clasificacion general sistemica,otras causas,2001-01-01,0,0,0,0,1,0,1,0,0,0,2,0,2
20701,APOLO,clasificacion general sistemica,otras causas,2001-01-01,1,0,1,0,1,0,23,0,1,0,27,0,27
51301,ARAMPAMPA,clasificacion general sistemica,otras causas,2001-01-01,0,0,0,0,0,0,1,0,0,0,1,0,1
30501,ARANI,clasificacion general sistemica,otras causas,2001-01-01,0,0,1,0,0,0,0,0,0,0,1,0,1
30601,ARQUE,clasificacion general sistemica,otras causas,2001-01-01,0,0,0,0,2,0,9,0,0,0,11,0,11
71501,ASCENCION DE GUARAYOS,clasificacion general sistemica,otras causas,2001-01-01,6,0,10,0,18,0,47,0,3,0,84,0,84
50802,ATOCHA,clasificacion general sistemica,otras causas,2001-01-01,0,0,1,0,5,0,23,0,0,0,29,0,29
20503,AUCAPATA,clasificacion general sistemica,otras causas,2001-01-01,0,0,0,0,1,0,1,0,0,0,2,0,2
20502,AYATA,clasificacion general sistemica,otras causas,2001-01-01,1,0,0,0,1,0,1,0,0,0,3,0,3
21303,AYO AYO,clasificacion general sistemica,otras causas,2001-01-01,0,0,3,0,0,0,7,0,0,0,10,0,10
30301,AYOPAYA (V. DE INDEPENDENCIA),clasificacion general sistemica,otras causas,2001-01-01,0,0,0,0,3,0,112,0,1,0,116,0,116
10201,AZURDUY,clasificacion general sistemica,otras causas,2001-01-01,6,0,19,0,4,0,20,0,3,0,52,0,52
21203,BATALLAS,clasificacion general sistemica,otras causas,2001-01-01,0,0,5,0,12,0,38,0,6,0,61,0,61
80802,BAURES,clasificacion general sistemica,otras causas,2001-01-01,1,0,4,0,4,0,12,0,1,0,22,0,22
41202,BELEN DE ANDAMARCA,clasificacion general sistemica,otras causas,2001-01-01,0,0,0,0,1,0,5,0,0,0,6,0,6
50104,BELEN DE URMIRI,clasificacion general sistemica,otras causas,2001-01-01,0,0,0,0,0,0,1,0,0,0,1,0,1
60202,BERMEJO,clasificacion general sistemica,otras causas,2001-01-01,8,0,14,0,19,0,85,0,7,0,133,0,133
50301,BETANZOS,clasificacion general sistemica,otras causas,2001-01-01,2,0,4,0,10,0,57,0,9,0,82,0,82
31501,BOLIVAR,clasificacion general sistemica,otras causas,2001-01-01,0,0,0,0,0,0,3,0,0,0,3,0,3
70707,BOYUIBE,clasificacion general sistemica,otras causas,2001-01-01,0,0,0,0,1,0,2,0,0,0,3,0,3
70703,CABEZAS,clasificacion general sistemica,otras causas,2001-01-01,4,0,3,0,8,0,80,0,0,0,95,0,95
20905,CAIROMA,clasificacion general sistemica,otras causas,2001-01-01,0,0,0,0,0,0,3,0,0,0,3,0,3
51102,"CAIZA ""D""",clasificacion general sistemica,otras causas,2001-01-01,0,0,0,0,0,0,2,0,0,0,2,0,2
21003,CAJUATA,clasificacion general sistemica,otras causas,2001-01-01,3,0,3,0,3,0,8,0,3,0,20,0,20
21304,CALAMARCA,clasificacion general sistemica,otras causas,2001-01-01,3,0,2,0,1,0,19,0,2,0,27,0,27
10701,CAMARGO,clasificacion general sistemica,otras causas,2001-01-01,4,0,7,0,3,0,28,0,5,0,47,0,47
10901,CAMATAQUI (C. VILLA ABECIA),clasificacion general sistemica,otras causas,2001-01-01,3,0,2,0,1,0,6,0,0,0,12,0,12
70706,CAMIRI,clasificacion general sistemica,otras causas,2001-01-01,56,0,59,0,48,0,89,0,37,0,289,0,289
30701,CAPINOTA,clasificacion general sistemica,otras causas,2001-01-01,75,0,34,0,6,0,109,0,4,0,228,0,228
20302,CAQUIAVIRI,clasificacion general sistemica,otras causas,2001-01-01,0,0,11,0,15,0,26,0,8,0,60,0,60
40102,CARACOLLO,clasificacion general sistemica,otras causas,2001-01-01,1,0,5,0,2,0,6,0,0,0,14,0,14
22001,CARANAVI,clasificacion general sistemica,otras causas,2001-01-01,0,0,14,0,13,0,45,0,5,0,77,0,77
41503,CARANGAS,clasificacion general sistemica,otras causas,2001-01-01,0,0,0,0,2,0,4,0,0,0,6,0,6
60302,CARAPARI,clasificacion general sistemica,otras causas,2001-01-01,3,0,6,0,11,0,38,0,4,0,62,0,62
50702,CARIPUYO,clasificacion general sistemica,otras causas,2001-01-01,0,0,1,0,1,0,31,0,0,0,33,0,33
40201,CHALLAPATA,clasificacion general sistemica,otras causas,2001-01-01,7,0,6,0,6,0,57,0,2,0,78,0,78
50302,CHAQUI,clasificacion general sistemica,otras causas,2001-01-01,1,0,3,0,2,0,16,0,4,0,26,0,26
70702,CHARAGUA,clasificacion general sistemica,otras causas,2001-01-01,1,0,0,0,15,0,41,0,7,0,64,0,64
20305,CHARAÑA,clasificacion general sistemica,otras causas,2001-01-01,0,0,0,0,0,0,0,0,1,0,1,0,1
50202,CHAYANTA,clasificacion general sistemica,otras causas,2001-01-01,24,0,19,0,4,0,6,0,0,0,53,0,53
31204,CHIMORE,clasificacion general sistemica,otras causas,2001-01-01,4,0,3,0,4,0,43,0,1,0,55,0,55
40302,CHOQUE COTA,clasificacion general sistemica,otras causas,2001-01-01,0,0,0,0,0,0,1,0,0,0,1,0,1
21101,CHULUMANI (V. DE LA LIBERTAD),clasificacion general sistemica,otras causas,2001-01-01,0,0,0,0,0,0,1,0,0,0,1,0,1
20501,CHUMA,clasificacion general sistemica,otras causas,2001-01-01,0,0,0,0,0,0,1,0,1,0,2,0,2
90101,COBIJA,clasificacion general sistemica,otras causas,2001-01-01,25,0,47,0,17,0,54,0,45,0,188,0,188
30101,COCHABAMBA,clasificacion general sistemica,otras causas,2001-01-01,211,0,214,0,358,0,576,0,73,0,1432,0,1432
